"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.318063241E0,5.439678431E-1,-3.234370947E-1,3.394174576E-1,7.181342347E-1
4.336576783E0,3.709517717E-1,-2.972533107E-1,-2.911949158E-2,4.762485616E-1
4.355138085E0,-6.289426982E-2,-1.886920333E-1,-1.861047745E-1,2.723882517E-1
4.373699335E0,-3.337958455E-1,-3.294980526E-1,-3.243513107E-1,5.702564387E-1
4.392260585E0,-5.634171963E-1,-5.031212568E-1,-4.644384384E-1,8.867203613E-1
4.410839855E0,-6.758670807E-1,-5.222273469E-1,-8.113298416E-1,1.178038125E0
4.429383137E0,-5.728778839E-1,-5.133736730E-1,-1.015045166E0,1.273600521E0
4.447944439E0,-1.654328704E-1,-6.439106464E-1,-8.934202194E-1,1.113637573E0
4.466553397E0,6.015822291E-2,-5.723131895E-1,-5.412826538E-1,7.900305753E-1
4.485114647E0,-7.723487914E-2,-4.455902576E-1,-8.947181702E-2,4.610001196E-1
4.503677043E0,-3.485721350E-1,-4.544577599E-1,6.224060059E-2,5.761148159E-1
4.522189491E0,-5.365232825E-1,-3.905478120E-1,-3.296155930E-1,7.409664400E-1
4.540750741E0,-5.874140263E-1,-2.194930315E-1,-8.254871368E-1,1.036658788E0
4.559359751E0,-5.820482969E-1,-1.540007591E-1,-1.120825768E0,1.272299829E0
4.577922251E0,-5.283883214E-1,-1.320040226E-1,-1.275631905E0,1.387031375E0
4.596434543E0,-5.018025041E-1,-8.531832695E-2,-1.137967110E0,1.246617067E0
4.614995793E0,-4.433056712E-1,7.749402523E-2,-8.549041748E-1,9.661192422E-1
4.633604803E0,-3.358059525E-1,1.444156170E-1,-6.104030609E-1,7.114867567E-1
4.652167199E0,-2.984513044E-1,1.674517393E-1,-5.618238449E-1,6.578444336E-1
4.670727355E0,-3.090924621E-1,1.311106682E-1,-4.430551529E-1,5.559010936E-1
4.689240897E0,-5.148994923E-1,1.665692329E-1,-4.532213211E-1,7.058869332E-1
4.707802147E0,-8.114423156E-1,3.422185183E-1,-5.910749435E-1,1.060623276E0
4.726411210E0,-7.527158260E-1,3.949218988E-1,-4.857587814E-1,9.790332041E-1
4.744972408E0,-5.854308009E-1,4.358230829E-1,5.471134186E-2,7.318909162E-1
4.763533710E0,-3.721138239E-1,4.533374310E-1,4.179792404E-1,7.202014785E-1
4.782047251E0,-1.246361732E-1,3.847857714E-1,4.505577087E-1,6.054721418E-1
4.800611626E0,-5.707342923E-2,3.330794573E-1,5.792598724E-1,6.706275427E-1
4.819187720E0,-3.742995262E-1,2.650551796E-1,8.254327774E-1,9.442953212E-1
4.837749022E0,-4.912017584E-1,6.866800785E-2,1.118720055E0,1.223735684E0
4.856292303E0,-5.032660961E-1,-1.076138020E-2,1.188751221E0,1.290938432E0
4.874853553E0,-4.429523945E-1,4.408860207E-2,9.081802368E-1,1.011405938E0
4.893462616E0,-2.480098158E-1,1.484771967E-1,4.190721512E-1,5.090931296E-1
4.912023866E0,1.176685095E-2,1.910314560E-1,1.605443954E-1,2.498118870E-1
4.930585116E0,5.400860310E-1,5.316448212E-2,4.425201416E-1,7.002452847E-1
4.949098658E0,7.821093202E-1,-2.238867879E-1,8.496904373E-1,1.176347789E0
4.967659908E0,4.817301035E-1,-4.514350891E-1,1.141807556E0,1.318932154E0
4.986270064E0,7.443022728E-2,-5.205173492E-1,1.405877113E0,1.500989216E0
5.004830220E0,1.127216220E-2,-4.260947704E-1,1.425864220E0,1.488211204E0
5.023391470E0,-7.480007410E-2,-1.789630055E-1,6.876478195E-1,7.144804631E-1
